gene	accession	description	length	fasta_path
TG	P01266	thyroglobulin	2768	fasta/TG_P01266.fasta
TPO	P07202	thyroid peroxidase	933	fasta/TPO_P07202.fasta
TSHR	P16473	TSH receptor	764	fasta/TSHR_P16473.fasta
SLC5A5	Q92911	Na/I symporter (NIS)	643	fasta/SLC5A5_Q92911.fasta
DUOX1	Q9NRD9	dual oxidase 1	1551	fasta/DUOX1_Q9NRD9.fasta
DUOX2	Q9NRD8	dual oxidase 2	1548	fasta/DUOX2_Q9NRD8.fasta
DIO1	P49895	iodothyronine deiodinase 1	249	fasta/DIO1_P49895.fasta
DIO2	Q92813	iodothyronine deiodinase 2	273	fasta/DIO2_Q92813.fasta
IYD	Q6PHW0	iodotyrosine deiodinase	289	fasta/IYD_Q6PHW0.fasta
PAX8	Q06710	paired box 8	450	fasta/PAX8_Q06710.fasta
FOXE1	O00358	forkhead box E1	373	fasta/FOXE1_O00358.fasta
NKX2-1	P43699	thyroid transcription factor 1	371	fasta/NKX2-1_P43699.fasta
HHEX	Q03014	hematopoietically expressed homeobox	270	fasta/HHEX_Q03014.fasta
CALCA	P01258	calcitonin	141	fasta/CALCA_P01258.fasta
